0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,class
0.81591535,-0.31482926,-1.1059809,-0.20927145,0.432592,-0.26351774,-0.29723722,-0.63033384,-0.5778983,1.0006238,0.040008888,-0.047025744,0.688492,0.30506092,-0.16220044,0.035825994,0.73257834,1.1638949,-0.44828436,0.09245081,-0.16746895,-0.13064659,0.07525843,-0.28552768,0.46427068,0.21249685,0.4083004,-0.2822294,-0.3819731,-0.29507884,0.056323886,-0.9612801,-0.06889534,-0.9999142,-0.10643645,-0.027339691,0.63679886,0.18942855,-1.1385499,-0.13374689,0.36985397,0.17836094,0.2730962,1.6836506,-0.11072998,0.3996638,0.41244566,0.8303591,-0.42535326,0.32043794,0.396718,1.0044663,-0.15304206,0.24714674,-0.5031473,0.55097765,-0.76644063,0.5373566,0.6432976,-0.096390225,0.22531004,-0.6050581,0.45163393,0.18167438,-0.99348205,0.98864347,-0.7040341,0.6294003,-0.42303455,-1.3704536,0.5775187,0.5206015,-0.47949412,-0.45515308,-0.3794853,-0.53489023,0.18781452,-0.018644668,-0.20673099,-0.072925955,-0.6145519,-0.44799975,0.72351056,-0.010763035,-0.5932036,-0.19357155,-0.36917588,-0.25287038,-0.13486405,-0.9518709,-0.5021588,-0.09117238,0.037858963,0.22908145,-0.6143512,-0.49754822,-0.56416774,-0.82712096,-0.32736552,-0.9463841,-0.6982702,-0.07801649,0.27721643,-0.56576806,-0.17739518,-0.006614647,0.12912521,-0.2954586,-1.0280173,0.8233823,1.2271616,0.39634517,0.0820425,0.42562753,0.14605254,0.7282641,0.41345835,-0.15410689,-0.47332862,0.14222617,0.60967594,-0.35802773,0.1522678,-0.004440333,0.47540852,0.3727117,0.20441814,-0.28865695,-0.69937605,0.18137091,-0.26416388,-0.30087587,-0.047635004,0.3633895,0.47953624,0.55454344,0.28053352,-0.61700904,-0.6411696,-0.053636253,-0.67536134,0.41962165,-0.35667706,0.18812346,-0.035870917,-1.659343,-0.20138873,-0.93561727,-0.47572577,-0.4638805,-0.670689,-0.4514778,-0.13703305,0.13123125,0.3445392,-0.12904301,-0.6851375,-0.115023725,0.93994296,-1.0183383,-0.83605826,-0.61960334,0.6650105,-0.6169292,-0.68826485,-0.18576728,0.23455633,0.30519503,-0.7666345,-0.8777466,-0.02592153,-0.36164734,-0.21721882,-0.24594493,-1.1484121,-0.18497834,-0.42190596,0.3026749,0.5519335,0.7420248,-1.1742989,-0.5119059,-0.42516014,-0.44054726,-0.68625635,-0.40575886,-0.021893827,-0.5896293,0.44043198,0.94140106,0.41144517,0.29131877,0.45619276,-0.40185297,0.013705871,0.11434383,-0.24097584,-0.053932212,-0.69076085,0.06612632,uncensored
0.3245936,-0.86823225,-0.75148064,0.7253918,0.70650625,0.8147591,-0.4909437,-0.40765628,-0.56617314,1.1353401,-0.06866219,-0.4807428,0.5863013,-0.10671117,-0.57970184,0.22872858,0.68991905,1.0541313,-0.30425146,-0.4820349,-0.24404845,0.10327063,0.54190606,-0.6145687,0.33286288,0.06615242,0.2583732,-0.3077511,-0.43109396,-0.19342734,0.27246407,-0.9285946,-0.283687,-0.90862316,-0.07107873,-0.3519274,0.25535926,0.3753574,-1.0991664,-0.029133921,0.006035253,-0.05539509,0.47717762,1.955778,0.2101676,0.31680506,0.44602248,0.9620471,0.28406647,0.06537357,0.13360536,0.5925028,0.7085796,0.3691148,-0.30288738,0.23793767,-0.3834062,0.5312173,0.07877769,0.62892115,0.5329487,-0.20175262,0.8730037,-0.46378186,-0.7246763,0.95420027,-0.48677596,0.88747776,-0.9111878,-1.2068939,0.13427944,0.4900372,-0.113062,-0.12220462,-0.29284772,-1.2225171,0.22997567,0.65607864,-0.28834462,0.22320014,-0.31150445,0.35427263,0.6656011,-0.005314807,0.14481215,-0.26419625,0.32918265,-0.8876405,-0.60708207,-0.98132986,-0.059014045,0.42924625,0.096543916,-0.005548163,-0.6654456,-0.6659035,-1.1277981,-0.4505269,-0.6301411,-1.112829,0.5186241,0.4382047,-0.18694411,-0.5490067,0.1801128,0.05338847,-0.018654888,-0.17622754,-0.8344235,0.15336698,0.44482112,0.3090927,0.29425436,0.1381277,0.30882668,0.49677864,0.3538917,-0.69516766,-0.2822895,0.1950171,0.8301772,0.6744764,0.55347353,-0.4265235,0.67340994,0.35123944,-0.36688453,-0.73763114,-0.4741849,-0.22125582,-0.2617398,-0.09876543,-0.5896742,-0.3892221,1.436359,0.6622147,-0.021435037,0.11794868,0.010991705,0.7523071,-0.5895164,0.42458287,-0.9242881,0.6065982,0.5983985,-0.58729404,-0.16130012,-0.73931104,-0.41483638,0.47580168,-0.9676144,-0.3430561,-0.087134875,0.6444802,-0.42627966,-0.3577292,-0.17526078,0.13349926,1.1575341,-0.7754045,-1.1621841,-0.18395127,1.4481218,-0.35236067,-0.0895615,-0.43735892,-0.5496201,0.93631995,-0.9390438,-0.6630089,-0.0545619,-0.03889105,0.17467263,0.43952018,-0.68346643,0.08816016,-0.05650787,-0.2365017,0.8796943,-0.14287725,-1.3628327,-0.8367968,-1.0170342,-0.41588178,-0.004442936,-0.8591424,0.26739898,0.61646837,0.35780582,0.3060962,0.6388426,-0.4558777,-0.16572413,-0.2693851,0.20259324,0.0473179,0.23226535,-0.58411115,-0.32420704,0.0724399,uncensored
-0.15811482,-1.2632415,-1.112449,0.3830944,0.7769327,0.20741308,-1.6653194,-1.3638927,-0.6356358,1.3448969,0.109979525,0.59566313,0.5321418,-0.042355884,-0.29713437,0.6646591,0.91932625,0.29359555,-0.64136237,-0.19404261,-0.46867615,0.03651071,0.35861102,-0.1385262,-0.18810147,0.59303594,0.4855025,-0.46073875,-1.0081018,-0.18443656,0.499791,-1.0977652,0.09661672,-0.79700583,-0.13669349,-0.31899378,-0.27612227,0.5723727,-0.9788913,-0.29215634,-0.0103923,0.4252506,0.59669816,1.5207071,0.6791266,0.712743,1.2732915,0.7009045,-0.07828653,0.062123448,0.07579305,1.242694,-0.19304392,0.39213905,0.048857562,0.4823238,-0.28683996,0.23372808,0.32633543,0.35251454,0.42387608,0.027658813,0.8928324,0.09363869,-1.1967614,0.6003776,-0.69683635,0.7712114,0.11595372,-0.62829876,0.41180018,0.59023327,-0.48710284,-0.50691193,0.14826968,-1.259782,0.18007334,0.6086268,-0.80004275,1.2771442,0.12184488,0.7121686,0.57628244,0.16531031,-0.36527434,0.12659636,-0.02264048,-1.6278629,-0.06253382,-1.736525,-0.058933794,0.22185338,-0.21549451,0.38327926,-0.5631507,-0.7823427,-1.5390539,-0.40591782,-1.0456861,-1.2772028,0.120537825,0.27697483,-0.77637553,-0.35043675,0.38223293,-0.27739888,-0.5792197,-0.76158047,-0.56047547,0.64304215,0.38773987,0.39016137,1.2317064,-0.30352148,1.0362557,0.30628026,1.0042293,-0.46691012,-0.37602285,0.5882278,0.21792212,0.4733961,0.18439022,0.014058037,0.8821319,0.16912538,-0.42725703,-0.22058819,-0.024395049,-1.1610804,-0.47035098,-0.117630154,-0.64361435,-0.5001745,1.7454512,1.9007839,0.63828063,-0.74354595,-0.18522938,0.35036176,-0.18739279,0.42660725,-0.763976,0.5283031,0.46993065,-0.53320426,-0.20900889,-0.44075564,-0.77994317,0.004098286,-0.3571795,-0.74146414,0.07131906,0.41846883,0.6842038,-0.63766986,0.20771201,0.37960687,0.81314373,-0.28142723,-1.2377406,-0.43360916,1.757627,0.13708396,0.000195485,0.1971615,-0.6633887,0.53415966,-0.7576378,-0.4761262,0.9511771,-0.6445058,0.31485853,1.309046,-0.42926398,0.39982122,-0.29789424,-0.17498922,0.8330406,0.20491265,-1.5182393,-1.1680344,-0.8275534,-0.61546445,-0.2959096,-0.12184199,-0.44414696,0.38506156,0.2823293,0.5243372,1.1850395,-0.13494433,-0.4549343,0.38263687,0.5474377,0.45273614,-0.1190311,-1.5552996,-0.20902924,-0.5706537,uncensored
0.40082353,-0.6050681,-0.81335235,0.43277013,0.041612048,0.37313706,-0.8994957,-0.54324627,-0.3606594,1.1593983,0.46596867,0.06684216,0.35957062,0.28961802,-0.7510327,-0.08611799,0.60898143,0.8435566,-0.5546857,-0.11961071,-0.1305742,-0.19232771,0.7389677,-0.5868095,0.40671378,0.39852193,0.5037567,-0.38511515,-0.62803674,-0.19679075,0.44234863,-1.3479794,0.10665011,-0.6431711,0.09525225,-0.12099698,0.52058417,0.67600614,-1.6135677,0.11027208,0.046871863,-0.1347885,0.46277848,1.8939021,0.48415023,0.16893074,1.350849,1.2413551,-0.13288203,0.22016454,0.09718118,1.1569241,0.015443375,0.24459238,-0.24282914,0.602864,-0.119479716,0.6007303,0.124950826,0.26329985,0.5587435,-0.32102406,0.6043165,0.51021105,-0.80571955,0.9963203,-0.5628856,0.5827061,-0.52515197,-1.4018875,0.5212271,0.43353227,-0.4917255,-0.19867647,-0.2474497,-0.6978067,0.26784554,0.7658771,0.030343616,0.839522,-0.22712594,0.3142345,0.39463833,0.5325177,-0.3779725,-0.1248352,-0.19490346,-0.9101961,-0.60193586,-1.0789187,-0.06129803,0.69926393,0.104424365,0.16141574,-0.7862861,-0.23957244,-0.722552,-0.03169236,-0.5282983,-1.5174434,0.41976023,0.33425027,-0.17390737,-0.2831639,-0.534762,-0.30434126,-0.31116614,-0.42545983,-0.7711939,0.95604205,0.7883319,0.30364877,0.7125311,-0.58889055,0.44620264,0.5130532,0.5320594,-0.15624213,-0.43349364,0.6380974,0.5469714,0.2522799,0.2028371,0.21093932,0.67162126,0.8169412,-0.14206332,-0.049033936,0.036406133,-0.16907616,-0.2189417,-0.027937476,-0.5499122,0.1115738,1.3948954,0.9591614,0.40451342,-0.26713476,-0.4307216,0.43172282,-0.43825692,-0.00995144,-0.7234051,0.60146433,0.3397172,-1.546353,-0.87882566,-1.1059018,-0.7645355,0.27269742,-0.6931169,-0.6516433,-0.16146345,0.6761986,0.046355255,-0.6044751,-0.36428538,-0.17392519,1.2246779,-0.38424322,-0.8286913,-0.17054543,1.0745728,-0.50714093,-0.3564597,0.18693903,-0.46835577,0.6660827,-1.2881714,-0.76181793,-0.077832215,-0.24618946,-0.36669964,0.41230655,-0.75455755,0.046473563,0.17508718,-0.08725964,0.56019056,0.3695332,-1.3662922,-1.0780276,-0.7687887,-0.48431155,0.17286968,-0.8147144,-0.31094265,0.04785552,0.20574495,0.59613985,0.94656277,0.13050692,-0.019275537,-0.14360154,0.25395912,0.10796467,0.021729052,-0.49339074,-0.42435375,-0.24399304,uncensored
0.07828395,-0.70056,-0.9382512,-0.05149836,-0.08455548,-0.017439706,-0.47392052,-0.6552903,-0.42888546,1.1387587,0.41979653,0.091850184,0.59811056,0.38924655,0.20196784,-0.13045803,1.0330979,0.704123,-0.13185206,0.07882982,-0.35170394,-0.12338051,0.49994138,-0.4473633,-0.29548654,0.23485628,-0.2294235,-0.38203058,-0.09546021,-0.10403266,0.75427324,-0.48287988,-0.0577747,-0.28835315,-0.34914127,-0.5283351,-0.06879539,0.43517163,-0.8457982,-0.21971336,0.051290713,0.4844829,0.4838019,1.1993241,-0.03377536,-0.088375576,0.5441842,0.54338324,0.07165712,0.3543765,0.6189989,0.5297216,-0.15766485,-0.16923647,-0.06502482,0.445812,-0.5758696,0.4843719,0.059924256,0.11701347,0.08438776,-0.34044588,0.74856836,0.089276336,-0.87235564,0.5517799,-0.33602342,0.92463183,-0.4407453,-0.79116786,0.6827432,0.52691156,-0.5707491,-0.10262892,0.22860898,-0.50895524,-0.21263479,0.32984412,-0.057293028,0.58422554,0.4388373,0.33317697,0.31576928,0.10081663,-0.07071874,0.120196216,-0.26365143,-0.9542241,0.46853617,-0.70461947,-0.040828902,0.24811873,0.18619089,0.50660896,0.035813976,-0.8718615,-0.5550917,-0.33866137,0.10813398,-1.2023829,-0.009246638,-0.107642874,-0.34974933,-0.77597874,-0.068177484,-0.23345166,-0.16724408,-0.21543363,-0.8155619,0.11135767,0.13323216,-0.10108611,0.22999477,-0.45678812,0.22142656,0.80003893,0.4586828,-0.11969706,-0.07785205,0.3800682,0.3347158,0.0148873,0.5119398,0.34521466,0.8911458,-0.000981028,-0.12683855,-0.4937679,-0.13234486,-0.1905906,-0.3416871,-0.39875486,-0.047067568,-0.4634238,0.7548471,0.7013801,0.15829578,-0.56792486,-1.0359303,-0.11988735,-0.43600243,0.6165201,-0.43110445,0.49964458,0.3620708,-0.75667876,-0.54958403,0.08233423,-0.5544415,-0.21771336,0.219158,-0.57676715,-0.054147016,0.51695925,0.54195124,-0.35123122,-0.001986916,0.26034862,0.7971415,-0.20272104,-0.5269134,-0.25614208,1.2639031,-0.11432235,-0.14344569,-0.40362763,-0.45631403,0.27635697,-0.7980885,-0.69641834,0.56202424,-0.3610987,0.053862922,0.12568215,-0.5703403,-0.21773522,-0.36204582,-0.31356105,0.52183217,-0.094522096,-1.0284551,-0.53982574,-0.29640245,-0.34894463,0.5001363,0.19782186,-0.29546052,0.05422244,0.07872226,0.6091666,1.0311819,-0.18101558,0.01711683,0.6848827,0.1679135,0.37906623,0.09434088,-0.65786517,-0.1250164,0.15984537,uncensored
0.14836246,-0.33620784,-1.004312,0.25043342,-0.3161648,0.42612755,-0.73136866,-0.3732958,-0.39754817,0.9249766,0.24866246,0.31855485,0.20732075,0.6912247,-0.30270857,-0.39492863,1.2104411,0.8085819,-0.21850266,0.34114724,-0.2603626,-0.3428034,0.73830265,-0.23087102,0.20563659,0.3368797,-0.2032197,-0.23571844,0.23490895,0.083497286,0.69048935,-0.5908026,0.51542175,-0.3293107,0.16249293,-0.2963555,-0.07696237,0.5483365,-0.9561197,-0.25815913,0.002638174,0.75219554,0.606896,2.0283053,0.2538018,-0.37152177,0.8214824,0.8988993,0.23154761,-0.071826264,0.44144046,0.67613167,0.06858675,-0.18610264,-0.36614722,0.61541426,-0.5510265,0.45138705,-0.038940392,0.27696157,0.15070285,-0.55178267,0.7302006,0.12618668,-1.0208781,0.524476,-0.9561226,0.73505896,-0.6758513,-0.51435465,0.42110834,0.62967473,-0.23936291,0.004253138,0.17620477,-0.4315078,-0.22337486,0.22585578,0.2653391,0.69241965,0.36355823,0.14073683,0.06862288,0.468513,-0.33826694,-0.015949503,-0.30375054,-0.6674281,0.29678062,-0.84560126,-0.16936138,0.71860933,-0.018292459,0.7801332,-0.3185968,-0.80458623,-0.6614714,-0.5369096,-0.35092983,-1.3328489,0.022350235,-0.015245542,-0.54168284,-0.3915621,-0.5135921,-0.15115374,-0.33124688,-0.35466537,-0.7604566,0.377753,0.07534007,-0.35821202,0.48158514,-0.82454133,-0.00077564,0.6772513,0.06287152,-0.44460306,-0.14961182,0.57649153,0.36346832,0.19298567,0.2619213,-0.05579801,0.8434627,-0.2896844,-0.55806935,-0.7736517,-0.06827524,0.030960478,-0.59599525,-0.28976053,-0.6712304,-0.48438102,1.0341351,0.9251497,0.018625515,-0.18142818,-0.91669905,-0.2560799,-0.5544152,0.46188223,-0.90750045,0.60985726,0.46622494,-1.0181407,-0.75442576,-0.39987004,-0.765194,-0.018503651,-0.011128542,-0.5528778,-0.096872084,0.6008446,-0.0473083,-0.5574858,-0.1540562,0.53012365,0.8496363,-0.18754679,-0.84824735,0.12291376,1.6770402,-0.06859758,-0.27173066,-0.31300288,-0.5646973,0.27722213,-0.8027153,-0.5228577,-0.15375264,-0.3525439,-0.17635113,0.6865221,-0.37288678,-0.15814394,0.005130405,-0.41124436,0.48993844,-0.09678846,-1.3464873,-0.72564936,0.05323923,-0.059161283,0.79198647,-0.32674262,-0.9930582,-0.030812573,0.15952462,0.23931918,0.85240024,0.019153813,-0.06318471,0.36297676,-0.25285557,0.29364842,-0.18293442,-0.51214355,-0.42406932,-0.07883853,uncensored
0.6133666,-0.52362573,-1.1074648,0.15006636,-0.020578083,-0.06390934,-1.0514048,-0.37988064,-0.00742601,1.2387822,0.33620656,-0.06213013,0.31940353,0.24468818,-0.54240006,0.010459895,0.18005411,1.1494974,-0.6603905,0.1489126,0.20844069,-0.2534904,0.6258119,-0.41701788,0.28662634,0.4711955,0.41930458,-0.7170433,-0.36890447,-0.7286233,-0.07058488,-1.0884734,-0.035348356,-1.1891203,0.3239941,-0.15144105,0.42066512,0.3603385,-1.0957086,0.07628339,-0.17381303,0.41213977,0.24941327,1.9355043,0.04885088,0.24227399,0.6233308,1.0028113,-0.19161685,-0.30911958,-0.044013616,1.3128177,0.025654454,0.08664542,-0.17623566,1.0107715,-0.49198654,0.5627429,0.35110092,0.22783555,0.79218805,-0.52266973,0.7932595,0.42800415,-1.2038703,1.1371957,-0.41811767,0.73975915,-0.61045694,-1.450578,0.4431151,0.56043637,-0.5753208,-0.5070148,-0.062624045,-0.81973237,0.15328671,0.3052538,0.4001886,0.629591,-0.29149246,-0.14894043,0.40000275,-0.11128554,-0.5044886,-0.38335562,-0.38540915,-0.7265091,-0.58067787,-1.2528322,-0.31937698,-0.12097282,-0.31115088,0.22588262,-0.34819537,-0.67858833,-0.65811086,0.05786439,-0.23150326,-0.8110703,-0.034156732,-0.115065604,-0.62680936,-1.0273925,-0.46298483,0.25569052,-0.13020304,-0.6187349,-0.5714769,0.6782637,1.1507137,0.44596928,0.26515502,-0.19316687,0.28302416,0.79714024,0.1826382,-0.024332322,-0.21333793,0.223198,0.1595979,-0.22893192,0.14990498,0.28329715,0.33029035,0.33318523,0.04476994,-0.41318464,-0.44499022,-0.42842832,0.118775055,-0.057648763,0.11794857,0.451489,0.6683419,0.676506,0.6034101,-0.49798495,-0.7299969,0.52871484,-0.81777006,0.2980068,-0.62749875,0.4702926,0.6326193,-1.6219935,-0.67127097,-0.8561176,-0.47329348,-0.2639815,-0.53540045,-0.43333933,-0.24208993,1.0125546,-0.07243164,-0.64922607,-0.5351751,0.22651425,1.6284262,-0.4053448,-1.0442212,-0.4847813,1.2859174,0.06268656,-0.42756796,0.2555271,-0.16191539,0.740311,-0.61148876,-0.66225886,0.18773079,-0.57012355,-0.15997776,0.031042086,-0.49608737,-0.13703369,-0.65165997,0.31260735,0.46358216,0.4115978,-1.7526517,-0.41192693,-0.70800614,-0.22043058,0.051811658,-0.72096837,-0.2863682,-0.1866761,0.13831864,0.38745487,0.9740237,0.07306233,0.46380076,-0.43706262,0.56168723,-0.001266089,-0.14637312,-0.120216414,-0.14308752,-0.37263677,uncensored
0.42194372,-0.33609658,-0.944495,0.1742831,0.12587705,-0.1368511,-0.60924864,-0.4923801,0.05503355,0.6708389,0.2673311,0.43140337,0.42052147,-0.08811852,0.0935229,-0.26828408,0.466606,0.87746036,-0.5197969,0.0488454,-0.32876912,-0.16928306,0.64204186,-0.37823427,0.066606365,-0.015676627,0.38906774,-0.26740333,-0.41398433,-0.39775577,0.06430931,-1.1610801,0.06438878,-0.38666883,-0.12109983,0.1358355,0.63096404,0.5133118,-1.4465276,-0.3116194,-0.116773896,0.26789543,0.40549323,1.8317456,-0.16603728,-0.081783354,0.4001788,0.8438471,-0.19070536,0.49652156,0.39657882,0.7830941,-0.11176959,-0.033712927,-0.070150435,0.81540686,-0.12344205,0.18288536,0.24825895,0.08734899,0.5244947,-0.45655888,0.4423656,0.9229414,-0.9321902,1.0145352,-0.22197986,0.64330775,-0.3344143,-1.0144302,0.49759325,0.6848867,-0.33759204,0.103935055,-0.026351176,-0.14139181,0.15856303,0.27639237,0.06473891,0.46610567,0.035501294,0.14592354,0.109409526,0.4239346,-0.25499162,-0.38325307,-0.43783712,-0.521642,-0.31478098,-0.633153,-0.32555372,0.06586287,0.28339186,0.7902683,-0.5508882,-0.44678003,-0.6981416,-0.30896974,-0.41700828,-1.0844212,0.15740538,0.32879767,-0.1842085,-0.5391852,-0.71346176,0.12739444,-0.5197171,-0.0886793,-0.84780276,0.40143603,0.78661025,0.21984673,0.05678229,-0.19654246,0.12917495,0.52402693,0.24119651,0.13205016,-0.3420167,0.5678873,0.33598295,0.09139532,-0.016850282,0.16296783,0.19082387,0.5102054,0.39057106,-0.2639452,-0.2649002,-0.13953753,0.04252741,0.194145,-0.02104423,0.131924,0.56077343,0.68872476,0.47985235,-0.38558576,-0.69853127,-0.06641176,-0.6763447,0.35257563,-0.53107196,0.41092253,0.16174571,-1.4201808,-0.6467764,-0.5084536,-0.62982315,-0.057183374,-0.44118768,-0.6063069,-0.004570128,0.23777947,0.55642927,-0.49383146,-0.38550997,0.31200042,1.3330601,-0.66867757,-0.694056,-0.1923606,1.2167051,-0.24976425,-0.3204745,-0.10068088,-0.16452447,0.34252673,-0.4683566,-0.27060115,-0.22557952,-0.38226154,-0.35909727,-0.062946625,-0.40026635,-0.22678883,-0.25363025,-0.118575566,0.5955172,0.22528267,-1.145359,-0.31225574,-0.47471443,-0.40641934,-0.023052786,-0.45770505,-0.42901832,0.16930352,0.12936932,0.5391268,1.0427738,0.06987185,0.22467658,0.054687098,0.20954177,0.2134346,-0.23930149,-0.16745366,-0.3332861,-0.07499564,uncensored
0.4964688,-0.42911842,-0.50789595,0.405994,0.11699348,-0.25281188,-0.6595845,-0.26742914,0.09398373,0.74147964,0.39989078,0.26917508,0.5769301,-0.16540204,-0.042080283,-0.11198273,0.022804461,0.8912365,-0.09363907,-0.13326786,-0.118463576,-0.24651742,0.56235474,0.05328777,0.3843326,-0.055194464,0.48421308,0.06692038,-0.46861702,-0.57875574,-0.29832152,-0.6977866,0.110230885,-0.20746176,-0.09045975,-0.1142818,0.618643,0.3172694,-0.84298027,0.09498787,-0.057097077,0.067873746,0.3447315,1.7547125,-0.30489525,-0.115849644,0.47704703,0.92768115,-0.28852314,0.11214363,0.24454857,0.8994713,-0.034812633,-0.3959103,-0.1782321,0.9073163,0.10275848,0.061349165,0.4217727,0.13692385,0.40667853,-0.15438536,0.62751454,0.6091858,-0.7572485,1.1403016,-0.30384406,0.27310738,-0.19002496,-1.0069752,0.24257134,0.5285764,-0.036928646,-0.09083585,-0.28831914,-0.05039516,0.37767506,0.22607607,-0.10745463,0.5313185,0.08022576,-0.115887955,0.16618629,0.23837192,0.11643157,-0.5639111,-0.026097188,-0.30384216,-0.5340599,-0.67521703,-0.32651007,0.0944342,-0.06835315,0.25507286,-0.615057,-0.49394143,-0.8430058,0.052341927,-0.34556696,-0.5109121,-0.079741046,0.33925092,-0.32173938,-0.45062238,-0.23627579,-0.09535023,-0.25618914,-0.046929047,-0.5356765,0.4453247,0.40219554,0.0912006,0.03999425,-0.25260505,0.20998475,0.29307544,0.7006686,0.08126626,-0.28061414,0.30280563,0.25558364,0.1944478,-0.06937484,0.15212081,-0.06275504,0.27003357,0.4518633,-0.5709144,0.12764564,-0.29664505,-0.20187892,-0.08856653,-0.3891855,0.6103051,0.27089748,0.513934,0.4360558,-0.53340966,-0.1099182,0.14110634,-0.64395285,0.28182772,-0.42290917,0.71409374,0.4302352,-0.8999069,-0.48920077,-0.2869483,-0.55851835,0.41823366,-0.06517039,-0.6718177,0.15190591,0.21095237,0.43278277,-0.79732925,-0.144803,-0.005479625,1.1865765,-0.6340415,-0.9467376,-0.2460324,1.132103,-0.06749442,-0.3133669,-0.05577483,-0.04157762,0.46325633,-0.2719164,-0.16341402,-0.166345,-0.21441895,-0.13879088,0.1053103,-0.16215202,-0.48138985,-0.61482376,0.05258858,0.72750676,0.11302979,-1.2174131,-0.15135294,-0.73385334,-0.56147486,-0.39221776,-0.14263558,-0.5288783,0.18154596,0.4126607,0.48017,0.9866174,0.06429389,0.63610333,-0.09632046,0.27577347,0.026013093,-0.3875073,0.032343503,-0.51388305,-0.018999359,uncensored
0.27855232,-0.90585625,-0.64599675,0.37068588,0.5245716,0.013909274,-0.620232,-0.65969217,-0.13408644,1.0841726,0.3856035,-0.00293488,0.39817682,-0.20109993,-0.60217804,-0.25833172,0.7792142,1.1454126,-0.5397538,-0.23697205,-0.16267198,-0.32691622,0.7453908,-0.5890199,0.49455714,0.16890974,0.39286843,-0.5828845,-0.58081543,-0.026362233,0.3072026,-1.2490026,0.04612413,-0.81483245,0.017357953,-0.34684175,0.02420461,0.94542086,-1.510276,-0.0798872,-0.23509523,0.08985442,0.37251866,2.1725044,0.64544266,0.07955128,0.80598074,1.2196466,-0.016788635,0.15444267,-0.106501386,0.98820376,0.45721796,0.39846593,-0.34067005,0.52588,0.09796749,0.5867847,-0.100139566,0.4722346,0.6015036,-0.24765764,0.5841853,0.40578568,-0.85531014,0.83558214,-0.63136965,0.8174476,-0.98913413,-1.1098132,0.5117238,0.7198873,-0.046425402,0.035748925,0.002178362,-0.70442605,0.030936474,0.8572295,-0.13997087,0.97900033,0.12145299,0.29790494,0.14084823,0.013441852,-0.010521461,-0.48288253,-0.06352733,-0.8159389,-0.5050428,-0.98632044,0.14611489,0.6351997,-0.149882,0.6312136,-0.71795535,-0.031968325,-0.6628131,-0.007309796,-0.42764828,-1.9650944,0.7591111,0.4767979,-0.1398293,-0.11422335,-0.17898671,0.14235856,-0.5051375,-0.13085763,-0.44227883,0.3610598,0.39181492,0.49064347,0.6871145,-0.30818695,0.4016129,0.7684187,0.43589643,0.012964935,-0.38429472,0.601287,0.39352253,0.4947239,0.32713526,0.08931343,0.49642682,0.5092071,0.13126504,-0.19927338,-0.1112161,0.050477847,-0.43478638,0.26137376,-0.8871486,0.026972054,1.2526866,1.0736165,0.24602617,-0.003891554,-0.397429,0.352482,-0.41963387,0.15608591,-0.7349902,0.5142474,0.39042532,-0.9217562,-0.6022529,-0.7284399,-0.9247734,0.26653743,-0.7691424,-0.6302889,-0.18970591,0.42875865,-0.13881695,-0.45928964,-0.19248505,0.14822926,1.2796481,-0.32382897,-0.81537503,-0.07695823,1.2534972,-0.12918496,0.014748446,0.19373462,-0.6405347,0.59142894,-0.99571514,-0.5940906,0.118359946,-0.02996985,-0.16223109,0.5381887,-0.29143733,-0.002509365,-0.0734773,-0.018040765,0.46473426,0.021515956,-1.5823444,-0.97745275,-1.0018761,-0.613265,-0.14634867,-0.66751724,-0.16752121,0.63132346,0.3381323,0.29076618,1.1801847,0.26560697,-0.2364244,0.54246545,-0.038381692,0.34907088,-0.05401046,-0.7407485,-0.18095809,-0.7685438,uncensored
