idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
74,67,6.7,0.0,35.82,23.88,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.49,2.99,2.99,2.99,1.49,5.97,2.99,1.49,2.99,0.0,2.99,0.0,0.0,2.99,0.0,2.99,1.49,1.49,0.0,0.0,1.49,0.0,1.49,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,7.46,0.0,0.0,1.49,5.97,0.0,2.99,1.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,2.99,0.0,0.0,7.46,1.49,4.48,1.49,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,1.49,0.0,0.0,0.0,37.31,14.93,17.91,0.0,1.49,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.641208,0.358792,2,0.00100981,0.00070984,11,6.090909091,2.0308762469999997,1000178.0,trump,censored
75,116,16.57,0.0,66.38,37.93,1.72,0.86,0.0,0.86,0.0,0.0,0.0,0.0,0.86,6.9,1.72,10.34,10.34,0.86,6.03,1.72,0.0,3.45,2.59,0.86,0.0,0.0,9.48,0.0,9.48,0.0,0.0,7.76,0.0,6.03,5.17,0.86,0.0,0.86,0.0,9.48,0.0,0.0,0.0,0.0,12.93,1.72,4.31,3.45,1.72,4.31,1.72,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,0.86,5.17,3.45,0.86,0.0,22.41,0.86,11.21,10.34,3.45,0.0,0.0,0.86,2.59,0.0,6.03,0.0,0.0,4.31,0.86,1.72,30.17,5.17,11.21,0.86,0.0,0.0,0.0,0.0,12.07,0.0,0.0,0.86,0.8344459999999999,0.165554,2,0.00232488,0.00234864,10,11.6,3.868224507,800.0,china,censored
76,60,15.0,0.0,58.33,36.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.67,1.67,6.67,3.33,1.67,1.67,5.0,1.67,5.0,1.67,0.0,1.67,1.67,8.33,1.67,8.33,1.67,0.0,1.67,3.33,3.33,1.67,1.67,0.0,0.0,0.0,6.67,0.0,0.0,1.67,0.0,6.67,3.33,0.0,0.0,0.0,3.33,1.67,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.33,3.33,5.0,1.67,3.33,16.67,3.33,10.0,5.0,8.33,1.67,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.67,1.67,3.33,21.67,6.67,11.67,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.794061,0.20594,2,0.00184448,0.00182212,11,5.454545455,1.8194040180000002,579607.0,china,censored
77,141,20.14,0.0,54.61,37.59,4.26,0.71,0.0,0.71,0.0,0.0,0.0,0.0,3.55,5.67,2.84,9.22,5.67,1.42,0.71,0.0,0.0,5.67,0.71,1.42,3.55,0.0,9.22,1.42,7.8,2.13,0.71,0.71,1.42,5.67,2.84,2.84,0.71,0.0,0.71,2.13,0.0,0.0,0.0,0.0,12.77,2.13,2.13,4.26,3.55,2.84,1.42,1.42,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,4.96,0.0,2.13,2.13,0.71,1.42,13.48,2.84,5.67,5.67,2.13,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.71,4.96,0.71,2.13,20.57,4.26,12.06,0.71,0.0,0.71,0.0,0.0,2.13,0.0,0.0,0.71,0.12129000000000001,0.87871,0,0.00218908,0.00236624,12,11.75,3.918185107,100.0,trump,censored
78,232,21.09,0.0,72.41,37.5,5.6,3.45,0.0,0.86,0.0,2.59,0.0,0.0,2.16,7.33,3.02,6.9,6.9,1.29,0.43,1.72,0.0,3.02,0.0,1.72,1.29,0.0,9.05,0.0,9.05,2.59,0.0,1.29,0.86,5.17,0.86,4.31,0.86,1.29,0.43,12.07,0.0,0.0,0.0,2.59,12.5,2.59,1.72,3.45,3.88,2.16,2.59,2.16,0.0,1.29,0.43,0.0,0.0,0.0,0.0,0.0,12.93,1.72,5.17,5.17,0.86,3.02,11.21,4.31,7.33,1.72,15.95,0.0,0.0,3.45,0.0,0.0,1.72,0.0,0.0,1.29,0.43,0.43,25.86,4.74,14.22,0.0,0.0,0.0,0.0,0.0,6.47,0.43,0.0,0.0,0.011295200000000002,0.988705,0,0.00233628,0.00261046,11,21.09090909,7.031951943999999,296.0,democracy,censored
79,31,15.5,0.0,54.84,48.39,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,12.9,9.68,3.23,0.0,0.0,0.0,9.68,3.23,0.0,0.0,6.45,16.13,9.68,12.9,3.23,0.0,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,6.45,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,3.23,3.23,6.45,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,6.45,0.0,3.23,54.84,9.68,19.35,0.0,0.0,6.45,0.0,0.0,19.35,0.0,0.0,0.0,0.0189707,0.981029,0,0.00236769,0.00281041,10,3.1,1.0350593670000001,33077.0,kindergarten,censored
80,119,9.92,0.0,85.71,52.1,12.61,9.24,2.52,2.52,2.52,0.84,0.84,0.0,3.36,6.72,3.36,10.92,12.61,3.36,0.0,0.84,0.0,3.36,1.68,0.84,0.0,0.84,19.33,6.72,13.45,9.24,2.52,0.0,0.84,8.4,5.88,2.52,0.0,0.0,0.0,24.37,5.88,0.0,5.88,0.0,19.33,5.88,3.36,2.52,3.36,1.68,4.2,5.88,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,12.61,2.52,0.0,9.24,0.0,0.84,9.24,0.0,3.36,5.04,0.0,0.0,0.0,0.0,2.52,0.0,16.81,0.0,0.84,14.29,1.68,1.68,32.77,9.24,11.76,0.0,0.0,1.68,0.0,0.0,10.08,0.0,0.0,0.0,0.0449191,0.955081,0,0.00214035,0.00215426,11,10.81818182,3.607492143,10703362.0,china,censored
81,28,28.0,0.0,57.14,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,10.71,3.57,3.57,3.57,3.57,0.0,3.57,0.0,3.57,0.0,0.0,14.29,3.57,10.71,3.57,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,10.71,3.57,7.14,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,3.57,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.187401,0.812599,0,0.00335816,0.00393496,10,2.8,0.9357643729999999,33.0,kindergarten,censored
82,44,14.67,0.0,72.73,43.18,11.36,9.09,4.55,4.55,0.0,2.27,0.0,0.0,4.55,4.55,2.27,11.36,6.82,2.27,0.0,0.0,0.0,6.82,0.0,2.27,0.0,4.55,9.09,4.55,9.09,0.0,2.27,2.27,2.27,13.64,2.27,9.09,2.27,4.55,0.0,11.36,2.27,0.0,2.27,0.0,13.64,4.55,0.0,4.55,2.27,0.0,2.27,9.09,0.0,0.0,9.09,2.27,0.0,0.0,2.27,0.0,9.09,4.55,0.0,2.27,0.0,4.55,18.18,4.55,6.82,2.27,2.27,0.0,0.0,0.0,0.0,0.0,13.64,2.27,0.0,6.82,0.0,4.55,54.55,4.55,15.91,0.0,0.0,2.27,0.0,4.55,27.27,0.0,0.0,0.0,0.10396500000000002,0.896035,0,0.00173118,0.00162419,11,4.0,1.33445179,73848.0,patriotism,censored
83,35,35.0,0.0,62.86,42.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,0.0,14.29,8.57,8.57,0.0,0.0,0.0,8.57,0.0,5.71,0.0,2.86,14.29,8.57,8.57,2.86,0.0,0.0,8.57,5.71,2.86,2.86,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,17.14,2.86,5.71,0.0,0.0,5.71,8.57,2.86,0.0,2.86,0.0,2.86,2.86,0.0,0.0,0.0,8.57,0.0,2.86,0.0,0.0,5.71,8.57,2.86,2.86,2.86,0.0,0.0,0.0,2.86,0.0,0.0,11.43,0.0,0.0,8.57,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504452,0.49554799999999993,1,0.00190694,0.00160519,11,3.1818181819999998,1.061776771,297.0,patriotism,censored
