Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category,class,class_num
,272,5.425026,2,0,1,13,245,155,0.25806451612903225,0.22580645161290322,0.7612903,0.3741935483870968,0.8285714285714286,0.1673469387755102,0.0,7.340164,0.5032258064516129,0.01935483870967742,13,11.92308,0.0,0.32638890000000004,299.7322,0.5384616,3.6153846153846154,0.0,0.0,0.7548387096774194,0.0,0.46153846153846156,2.265298,0.0,0.7548387,0.03036887,2.1393590000000002,0.0,0.006448089000000001,0.04516129032258064,0.04516129032258064,0.025806451612903226,0.0064516129032258064,0.03870967741935484,0.01935483870967742,0.0064516129032258064,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.6709677419354839,censored,1
,273,3.831757,5,0,1,1,46,38,0.21052631578947367,0.2631578947368421,0.9473684000000001,0.2894736842105263,0.8260869565217391,0.15217391304347827,0.0,7.088889,0.21052631578947367,0.0,1,38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.8947368,0.01881438,2.341061,0.0,0.006448089000000001,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,censored,1
,274,4.685757,2,0,1,3,59,37,0.05405405405405406,0.2702702702702703,0.9459459000000001,0.35135135135135137,0.7796610169491526,0.22033898305084745,0.0,8.372881,0.4864864864864865,0.05405405405405406,3,12.33333,0.0,0.6444443,443.1818,0.6666667,2.6666666666666665,0.0,0.0,0.918918918918919,0.02702702702702703,0.3333333333333333,0.1608831,0.0,0.9189189,0.01881438,1.3718709999999998,0.0,0.006448089000000001,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648648648648649,censored,1
,275,4.819801,2,0,1,7,120,70,0.14285714285714285,0.2857142857142857,0.8714284999999999,0.3142857142857143,0.8166666666666667,0.18333333333333332,0.0,7.7,0.6857142857142857,0.014285714285714285,7,10.0,0.0,0.1666667,304.3651,0.4285714,1.7142857142857142,0.0,0.0,0.8428571428571429,0.0,0.5714285714285714,1.535199,0.0,0.8428571,0.03812061,1.656834,0.0,0.006448089000000001,0.04285714285714286,0.02857142857142857,0.0,0.04285714285714286,0.07142857142857142,0.014285714285714285,0.04285714285714286,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.7428571428571429,censored,1
,276,4.573496,2,0,1,4,97,52,0.057692307692307696,0.2692307692307692,0.6346154,0.38461538461538464,0.7835051546391752,0.21649484536082475,0.0,7.402062,0.7115384615384616,0.07692307692307693,4,13.0,0.0,0.08333333,397.7564,0.25,1.5,0.0,0.0,0.9230769230769231,0.019230769230769232,0.0,0.0,0.0,0.9230769,0.17645339999999998,0.9623671999999999,0.0,0.006448089000000001,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,censored,1
,277,4.549208,2,0,1,8,134,63,0.12698412698412698,0.3968253968253968,0.7936508000000001,0.49206349206349204,0.8208955223880597,0.14925373134328357,0.0,7.346153999999999,0.5238095238095238,0.1111111111111111,8,7.875,0.4,0.42708329999999994,273.8095,0.25,2.375,0.0,0.0,0.9206349206349206,0.015873015873015872,0.625,1.6544150000000002,0.0,0.9206349,0.04902767,1.288646,0.0,0.006448089000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7301587301587301,censored,1
,278,3.951193,5,0,1,1,120,72,0.19444444444444445,0.2916666666666667,0.7916667,0.3194444444444444,0.875,0.125,0.0,7.2,0.6111111111111112,0.027777777777777776,1,72.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,0.027777777777777776,0.0,0.0,0.0,0.75,0.05235305,1.776498,0.0,0.006448089000000001,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.06944444444444445,0.041666666666666664,0.041666666666666664,0.013888888888888888,0.0,0.027777777777777776,0.013888888888888888,0.0,0.0,0.6388888888888888,censored,1
,279,4.927067,2,0,1,5,120,65,0.13846153846153847,0.23076923076923078,0.8923076999999999,0.4461538461538462,0.8583333333333333,0.14166666666666666,0.0,7.675,0.6615384615384615,0.046153846153846156,5,13.0,0.0,0.2,359.0368,0.4,5.0,0.0,0.2,0.9076923076923077,0.015384615384615385,0.2,0.06088305,0.0,0.9076923000000001,0.03172153,1.253809,0.015384615384615385,0.025928106,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.8153846153846154,censored,1
,280,4.658631,2,0,1,5,104,55,0.16363636363636364,0.12727272727272726,0.6,0.4,0.875,0.125,0.0,7.403846000000001,0.5636363636363636,0.05454545454545454,5,11.0,0.0,0.2833333,407.8921,0.4,5.0,0.0,0.0,0.7636363636363637,0.0,0.2,0.06088305,0.0,0.7636364000000001,0.12456410000000001,1.21727,0.0,0.006448089000000001,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272727272727272,censored,1
,281,4.644326,2,0,1,4,69,44,0.1590909090909091,0.25,0.75,0.29545454545454547,0.8260869565217391,0.17391304347826086,0.0,7.550725,0.5,0.0,4,11.0,0.0,1.1964290000000002,241.4108,1.25,3.25,0.0,0.0,0.7272727272727273,0.0,0.25,0.360883,0.0,0.7272727,0.05985779,1.549133,0.0,0.006448089000000001,0.022727272727272728,0.022727272727272728,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.25,0.5909090909090909,censored,1
