Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,20001,4.714135,2.0,0,1,4,66,39,10,8,0.8974359,16,54,12,0,8.151515,21,3,4,9.75,0.0,0.5555556,258.3333,0.0,0,0,0.0,35,0,1,0.560883,0,0.8974359,0.02822156,1.627875,0,0.002984,0,0,0,0,2,2,0,0,0,0,0,0,0,32
,20002,3.401109,5.0,0,1,1,52,30,6,6,0.5,12,50,2,0,6.807693,8,4,1,30.0,1.0,0.0,0.0,4.0,0,0,0.0,24,2,0,0.0,0,0.8,0.30103,2.079362,0,0.002984,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,20003,4.713,2.0,0,1,3,45,26,6,6,1.0,13,32,12,0,8.227273,17,1,3,8.666667,0.0,0.3333333,275.3358,0.0,6,0,0.0,23,0,2,0.7467661,0,0.8846154,0.0,1.120606,0,0.002984,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,20004,4.647117,1.0,0,1,3,44,26,2,8,0.9230769,9,40,4,0,6.75,16,1,3,8.666667,0.0,0.0,300.0,1.0,7,0,0.0,21,0,2,0.3884327,0,0.8076923,0.03168737,2.577039,0,0.002984,2,2,2,0,2,1,2,1,0,0,0,0,0,19
,20005,4.815757,5.0,0,1,2,105,65,13,10,0.8769231,21,90,15,0,7.171429,34,3,2,32.5,0.0,0.0,400.0,1.5,0,0,0.0,51,1,1,0.560883,0,0.7846154,0.01881438,1.606256,0,0.002984,1,1,1,0,2,2,0,0,0,0,0,0,0,48
,20006,5.087646,3.0,0,1,9,266,160,25,38,0.6875,36,231,35,0,7.281955,89,4,9,17.77778,0.0,0.6916666,348.355,1.222222,27,0,0.0,134,0,2,0.6217661,1,0.8375,0.0879519,1.9083,0,0.002984,10,10,5,4,4,2,1,1,0,0,0,0,0,99
,20007,4.805865,2.0,0,1,4,156,95,15,15,0.8,25,132,24,0,7.378205,52,3,4,23.75,0.0,0.375,305.5555,3.75,6,0,0.0,70,1,1,0.3942164,1,0.7368421,0.05188902,1.693155,0,0.002984,0,0,0,0,2,1,1,1,0,1,0,0,1,59
,20008,4.890213,2.0,0,1,8,151,89,20,22,0.8202247,27,131,20,0,7.298013,50,6,8,11.125,0.0,0.09183673,392.1568,0.5,19,0,0.0,74,1,6,2.448632,0,0.8314607,0.0378368,1.984679,0,0.002984,2,2,2,0,0,0,0,0,0,0,0,0,0,65
,20009,3.989775,1.0,0,1,5,61,35,5,8,0.4857143,13,56,4,0,7.266667,22,2,5,7.0,0.3333333,0.1666667,331.8452,0.4,6,0,0.0,27,0,5,2.137748,0,0.7714286,0.30103,2.523868,0,0.002984,0,0,0,0,2,2,0,0,0,2,0,0,0,13
,20010,4.870283,2.0,0,1,7,98,62,15,18,0.8548387,24,81,17,0,7.744898,32,2,7,8.857142,0.0,0.2714286,230.0557,0.0,12,0,0.0,54,2,5,0.8044152,0,0.8709677,0.03502586,2.106365,0,0.002984,3,3,1,0,2,1,1,1,0,0,0,0,0,48
