idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
1574,64,10.67,0,54.69,26.56,1.56,1.56,0,1.56,0,0,0,0,0,7.81,0,4.69,0,1.56,1.56,1.56,0,1.56,0,0,0,1.56,10.94,0,10.94,0,0,3.12,1.56,6.25,1.56,4.69,0,3.12,0,9.38,1.56,1.56,3.12,0,1.56,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,6.25,0,0,14.06,4.69,6.25,6.25,4.69,0,0,0,0,0,0,0,0,0,0,0,9.38,1.56,0,0,0,0,7.81,0,0,0,0,0,0.902326,0.097674,2,0.00212023,0.0023168,11,5.818181818,1.940872949,5063,cp,censored
1575,27,13.5,0,59.26,29.63,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,3.7,3.7,0,0,0,11.11,0,11.11,0,0,3.7,3.7,3.7,3.7,0,0,0,0,7.41,3.7,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,3.7,0,0,22.22,7.41,0,14.81,0,0,14.81,11.11,11.11,3.7,3.7,3.7,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,7.41,0,0,0,0,0,0.838133,0.161867,2,0.00237826,0.00303072,9,3,1.001802993,5063,everythingElse,censored
1576,54,18,0,46.3,22.22,0,0,0,0,0,0,0,0,0,7.41,0,1.85,5.56,0,0,1.85,0,1.85,1.85,0,0,1.85,5.56,0,5.56,3.7,0,1.85,1.85,3.7,0,3.7,0,1.85,0,5.56,0,0,1.85,0,5.56,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,1.85,3.7,0,5.56,0,0,0,1.85,1.85,3.7,0,0,3.7,0,0,38.89,7.41,27.78,3.7,0,0,0,0,0,0,0,0,0.889734,0.110266,2,0.00153003,0.00172986,11,4.909090909,1.637450266,2395,china,censored
1577,7,7,0,85.71,42.86,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,14.29,0,0,0,14.29,28.57,14.29,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,28.57,28.57,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0.220286,0.779714,0,0.00141556,0.00130972,7,1,0.33424176,29164,everythingElse,censored
1578,8,8,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0.760401,0.239599,2,0.00129725,0.00064732,6,1.333333333,0.445092634,493,everythingElse,censored
1579,21,21,0,61.9,28.57,0,0,0,0,0,0,0,0,0,9.52,4.76,0,9.52,0,4.76,0,0,0,0,0,0,0,4.76,4.76,0,0,0,14.29,0,4.76,0,4.76,0,4.76,0,9.52,0,0,0,0,4.76,0,0,4.76,0,0,0,4.76,0,4.76,0,0,0,0,0,0,9.52,0,0,9.52,0,0,19.05,0,4.76,14.29,4.76,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,4.76,0,0,9.52,0,0,0,0.293871,0.706129,0,0.00085342,0.00057768,9,2.333333333,0.778254811,34467,everythingElse,censored
1580,30,15,0,63.33,50,6.67,6.67,3.33,0,0,0,3.33,0,0,10,6.67,6.67,3.33,3.33,0,0,0,10,0,0,6.67,3.33,10,3.33,10,6.67,0,0,0,6.67,3.33,0,0,0,0,6.67,0,0,0,0,20,6.67,3.33,6.67,10,0,0,3.33,0,3.33,0,0,0,0,0,0,13.33,3.33,10,0,3.33,0,10,3.33,3.33,3.33,0,0,0,0,0,0,3.33,0,0,3.33,0,0,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0,0.575873,0.424127,2,0.00278537,0.0028617,11,2.727272727,0.910973266,29844,everythingElse,censored
1581,7,7,0,57.14,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,28.57,14.29,0,0,28.57,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0.328724,0.671276,0,0.00218935,0.0011687,7,1,0.334452683,37171,everythingElse,censored
1582,57,14.25,0,70.18,33.33,10.53,7.02,1.75,0,3.51,1.75,0,0,3.51,7.02,5.26,1.75,3.51,0,0,0,0,5.26,0,1.75,0,3.51,12.28,5.26,10.53,0,3.51,0,0,8.77,1.75,5.26,1.75,1.75,1.75,10.53,0,0,0,1.75,10.53,7.02,3.51,1.75,3.51,1.75,0,8.77,5.26,3.51,0,7.02,1.75,5.26,0,0,10.53,0,1.75,8.77,0,0,8.77,5.26,0,1.75,1.75,1.75,0,0,0,0,8.77,0,5.26,3.51,0,0,24.56,3.51,7.02,0,0,3.51,0,0,0,0,0,10.53,0.0495099,0.95049,0,0.00164702,0.00160976,11,5.181818182,1.728358321,936,propaganda,censored
1583,23,11.5,0,52.17,30.43,0,0,0,0,0,0,0,0,0,8.7,0,8.7,4.35,0,0,0,0,4.35,0,0,0,4.35,13.04,8.7,8.7,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,8.7,4.35,4.35,0,0,0,0,4.35,0,4.35,0,0,0,0,0,0,8.7,0,0,8.7,0,0,8.7,0,8.7,0,4.35,0,0,0,0,0,8.7,0,0,8.7,4.35,0,30.43,4.35,13.04,0,0,4.35,0,0,8.7,0,0,0,0.0538774,0.946123,0,0.00245274,0.00236181,10,2.3,0.768271517,21149,everythingElse,censored
1584,13,6.5,0,61.54,30.77,0,0,0,0,0,0,0,0,0,0,0,23.08,0,7.69,0,0,0,23.08,7.69,7.69,0,15.38,7.69,7.69,7.69,0,0,0,0,7.69,0,7.69,0,0,0,15.38,0,0,0,0,15.38,7.69,0,0,0,0,7.69,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,15.38,0,7.69,0,0,0,0,7.69,0,0,7.69,0,0,30.77,7.69,7.69,0,0,0,0,0,0,0,0,15.38,0.305502,0.694498,0,0.00115019,0.00086673,8,1.625,0.542338973,1519,everythingElse,censored
1585,7,7,0,71.43,42.86,14.29,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,14.29,0,0,0,14.29,28.57,14.29,28.57,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,28.57,0,14.29,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0.351512,0.648488,0,0.00165138,0.00121776,9,0.777777778,0.260215639,29149,everythingElse,censored
1586,29,14.5,0,55.17,31.03,0,0,0,0,0,0,0,0,0,3.45,0,3.45,0,0,3.45,3.45,3.45,10.34,3.45,0,3.45,3.45,10.34,3.45,10.34,0,0,3.45,3.45,3.45,0,3.45,3.45,0,0,6.9,0,0,0,0,10.34,6.9,3.45,0,0,0,0,3.45,0,3.45,0,0,0,0,0,0,6.9,3.45,0,3.45,0,0,13.79,0,6.9,6.9,3.45,0,0,0,0,0,3.45,0,0,3.45,0,0,13.79,3.45,6.9,0,0,0,3.45,0,0,0,0,0,0.414779,0.585221,0,0.00194511,0.00225231,11,2.636363636,0.880187019,28577,everythingElse,censored
1587,53,13.25,0,67.92,39.62,1.89,0,0,0,0,0,0,0,1.89,7.55,0,7.55,5.66,0,5.66,0,1.89,5.66,1.89,1.89,0,1.89,16.98,5.66,13.21,3.77,0,1.89,1.89,9.43,1.89,3.77,0,0,0,13.21,0,1.89,0,0,7.55,3.77,0,1.89,0,3.77,0,1.89,0,1.89,0,0,0,0,0,0,20.75,3.77,7.55,15.09,0,1.89,11.32,3.77,1.89,7.55,15.09,0,0,3.77,0,0,7.55,0,0,7.55,0,3.77,24.53,5.66,7.55,0,0,0,0,0,0,0,3.77,7.55,0.76056,0.23944,2,0.00207129,0.00277433,11,4.818181818,1.607675813,5046,social,censored
1588,14,7,0,28.57,14.29,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,7.14,0,0,0,7.14,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,21.43,14.29,7.14,0,0,0,0,0,0,0,0,0,0.078819,0.921181,0,0.00115543,0.00071754,10,1.4,0.46729099,184072,everythingElse,censored
1589,29,29,0,75.86,37.93,0,0,0,0,0,0,0,0,0,0,0,24.14,0,10.34,3.45,0,0,24.14,10.34,0,3.45,20.69,10.34,10.34,10.34,0,0,0,0,13.79,3.45,10.34,0,0,0,20.69,0,0,0,0,20.69,10.34,0,0,0,0,10.34,3.45,0,3.45,0,6.9,0,0,6.9,0,0,0,0,0,0,0,13.79,0,0,13.79,0,3.45,0,0,0,0,10.34,0,0,10.34,0,0,51.72,10.34,10.34,3.45,6.9,0,0,0,20.69,0,0,0,0.103021,0.896979,0,0.0010358,0.00071104,9,3.222222222,1.074656354,18818,everythingElse,censored
1590,28,28,0,39.29,32.14,7.14,7.14,7.14,0,0,0,0,0,0,0,7.14,0,3.57,7.14,3.57,0,0,0,0,0,0,0,3.57,0,3.57,0,0,3.57,0,7.14,0,3.57,0,0,0,3.57,0,0,0,0,10.71,3.57,0,7.14,3.57,0,0,3.57,0,3.57,0,0,0,0,0,0,3.57,0,0,3.57,0,0,7.14,0,3.57,7.14,0,0,0,0,0,0,3.57,0,0,0,3.57,0,28.57,10.71,17.86,0,0,0,0,0,0,0,0,0,0.451589,0.548411,1,0.00220686,0.00180369,11,2.545454545,0.849821698,6550,everythingElse,censored
1591,62,15.5,0,56.45,32.26,9.68,8.06,6.45,0,1.61,0,0,0,1.61,4.84,0,3.23,0,3.23,1.61,3.23,0,1.61,0,0,1.61,0,8.06,0,8.06,1.61,0,0,1.61,8.06,3.23,3.23,0,1.61,0,12.9,1.61,1.61,4.84,1.61,6.45,0,0,1.61,1.61,4.84,0,3.23,0,3.23,0,0,0,0,0,0,8.06,1.61,1.61,4.84,0,0,11.29,3.23,0,6.45,1.61,0,0,0,0,0,3.23,0,0,1.61,1.61,3.23,24.19,3.23,0,1.61,12.9,1.61,1.61,0,0,0,0,3.23,0.444829,0.555171,0,0.00175695,0.00162579,11,5.636363636,1.879915459,44947,everythingElse,censored
1592,11,11,0,72.73,63.64,9.09,0,0,0,0,0,0,0,9.09,18.18,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,9.09,0,9.09,9.09,0,0,18.18,9.09,9.09,0,0,0,0,18.18,0,0,0,0,18.18,0,0,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0.484727,0.515273,1,0.00117694,0.00053091,11,1,0.333902617,1609,everythingElse,censored
