idx,WC,WPS,Sixltr,Dic,othergram,persconc,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,tensem,focuspast,focuspresent,focusfuture,progm,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,pos_sent,neg_sent,sentiment,charFreq,wordFreq,semantic_classes,wc_over_semantic_classes,readability,followers,topic,class
1697,28,28,0,92.86,71.43,17.86,0,0,0,0,0,0,0,17.86,7.14,0,14.29,3.57,3.57,0,7.14,7.14,3.57,0,0,0,3.57,14.29,3.57,14.29,7.14,0,0,10.71,10.71,3.57,7.14,3.57,0,0,14.29,0,0,0,0,28.57,7.14,3.57,3.57,7.14,10.71,3.57,3.57,0,3.57,0,0,0,0,0,0,14.29,0,3.57,10.71,0,3.57,17.86,7.14,17.86,3.57,3.57,0,0,0,0,0,7.14,0,0,7.14,0,0,14.29,3.57,10.71,0,0,0,0,0,0,0,0,0,0.0476526,0.952347,0,0.00387664,0.00450688,10,2.8,0.93612784,536,everythingElse,censored
1698,34,8.5,0,76.47,32.35,2.94,2.94,0,2.94,0,0,0,0,0,5.88,2.94,11.76,5.88,2.94,0,2.94,0,8.82,0,5.88,2.94,0,8.82,0,8.82,2.94,0,0,0,8.82,5.88,0,0,0,0,20.59,0,0,0,0,8.82,2.94,0,2.94,2.94,0,5.88,5.88,0,5.88,0,0,0,0,0,0,14.71,0,5.88,11.76,2.94,2.94,17.65,2.94,5.88,8.82,14.71,0,0,5.88,0,0,2.94,0,0,2.94,0,0,11.76,8.82,0,0,0,0,2.94,0,0,0,0,0,0.923643,0.0763574,2,0.0023681,0.00227358,11,3.090909091,1.031850257,2093,democracy,censored
1699,10,10,0,70,60,0,0,0,0,0,0,0,0,0,10,10,20,0,10,0,0,0,10,0,0,0,10,20,10,20,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,10,0,10,0,0,0,0,0,10,0,0,10,0,0,70,60,10,0,0,0,0,0,0,0,0,0,0.229771,0.770229,0,0.00243853,0.00311355,10,1,0.335184027,3081,china,censored
1700,10,10,0,70,40,10,0,0,0,0,0,0,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,30,10,20,0,0,0,0,0,0,0,0,0,0.444171,0.555829,0,0.0022735,0.00122409,8,1.25,0.41783253,88255,china,censored
1701,57,19,0,61.4,28.07,1.75,1.75,1.75,0,0,0,0,0,0,3.51,5.26,0,1.75,1.75,0,7.02,0,1.75,0,1.75,0,0,7.02,0,7.02,0,0,0,0,8.77,3.51,1.75,0,0,1.75,8.77,0,1.75,0,0,17.54,5.26,3.51,3.51,7.02,0,1.75,0,0,0,0,5.26,0,5.26,0,0,7.02,1.75,1.75,5.26,0,0,17.54,8.77,7.02,1.75,1.75,1.75,0,0,0,0,1.75,0,0,1.75,0,0,14.04,5.26,8.77,0,0,0,0,0,0,0,0,0,0.0478562,0.952144,0,0.00195955,0.00227228,11,5.181818182,1.728683337,5822,stability,censored
1702,45,15,0,64.44,26.67,0,0,0,0,0,0,0,0,0,11.11,0,4.44,6.67,0,0,2.22,0,2.22,0,2.22,0,0,6.67,0,6.67,0,0,0,0,13.33,2.22,11.11,4.44,2.22,0,2.22,0,0,0,0,2.22,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,4.44,8.89,0,6.67,15.56,0,11.11,4.44,2.22,0,0,2.22,2.22,2.22,4.44,0,0,2.22,0,2.22,28.89,6.67,11.11,0,11.11,0,0,0,0,0,0,0,0.884301,0.115699,2,0.00171722,0.00209843,11,4.090909091,1.364908247,6442,independence,censored
1703,33,33,0,81.82,42.42,3.03,3.03,3.03,0,0,0,0,0,0,6.06,3.03,15.15,6.06,0,0,0,0,3.03,0,0,0,3.03,9.09,3.03,9.09,12.12,0,0,3.03,15.15,12.12,3.03,3.03,0,0,9.09,0,0,0,0,18.18,6.06,0,6.06,9.09,3.03,0,0,0,0,0,0,0,0,0,0,18.18,0,0,15.15,3.03,0,12.12,0,6.06,6.06,6.06,0,0,0,0,0,15.15,0,0,15.15,0,0,21.21,3.03,18.18,0,0,0,0,0,0,0,0,0,0.602895,0.397105,2,0.00286175,0.00291617,10,3.3,1.101925973,6051,china,censored
1704,11,5.5,0,36.36,27.27,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0.222432,0.777568,0,0.00189233,0.00130606,6,1.833333333,0.612177241,5522,everythingElse,censored
1705,24,24,0,62.5,41.67,0,0,0,0,0,0,0,0,0,12.5,0,8.33,4.17,0,4.17,4.17,4.17,4.17,0,0,4.17,0,8.33,0,8.33,0,0,0,4.17,16.67,8.33,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,0,4.17,16.67,4.17,4.17,16.67,0,16.67,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,12.5,0,0,0,4.17,0,0,0,0,0,0.750049,0.249951,2,0.00217485,0.00288813,10,2.4,0.80168766,96576,china,censored
1706,40,40,0,65,47.5,10,5,5,0,0,0,0,0,5,10,2.5,7.5,10,2.5,0,2.5,0,2.5,0,2.5,0,0,7.5,0,7.5,0,2.5,0,0,7.5,2.5,5,2.5,0,2.5,7.5,0,0,0,0,5,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,10,0,2.5,7.5,2.5,0,5,0,5,0,7.5,0,0,0,0,0,2.5,0,0,2.5,0,0,15,0,12.5,0,0,2.5,0,0,0,0,0,0,0.333577,0.666423,0,0.00231769,0.00273378,11,3.636363636,1.213805035,85623,everythingElse,censored
