Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,30001,4.782423,2.0,11.0,1,3,62,40,7,11,0.8,20,56,4,2,7.354839,22,0,3,13.33333,0.0,0.5,329.1487,0.3333333,18,0,0.0,31,0,1,0.06088305,0,0.775,0.04459704,1.122785,0,0.001728,2,2,0,1,0,0,0,0,0,0,0,0,1,27
,30002,3.967945,2.0,10.0,1,3,42,35,2,9,0.6285715,5,30,12,0,8.214286,5,1,3,11.66667,0.5,0.0952381,343.4343,0.6666667,7,0,0.0,32,0,1,0.560883,0,0.9142857,0.1395409,1.176287,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,30003,4.994856,2.0,12.0,1,5,116,71,18,14,0.8873239,33,97,17,1,7.782609,35,5,5,14.2,0.0,0.3166667,452.0146,0.8,0,0,0.0,56,0,2,0.7884327,0,0.7887324,0.01114926,1.263283,0,0.001728,0,1,0,0,1,0,1,1,0,0,0,0,0,54
,30004,3.697,1.0,8.0,1,1,8,5,0,1,1.0,2,8,0,0,4.875,3,0,1,5.0,1.0,0.0,400.0,1.0,0,0,0.0,4,0,1,0.310883,0,0.8,0.0,0.7156819,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,30005,4.587,1.0,1.0,1,2,19,11,1,1,1.0,4,16,3,0,7.263158,6,1,2,5.5,0.0,0.0,466.6667,0.5,0,0,0.0,9,0,2,0.3717661,0,0.8181818,0.0,1.778332,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,30006,4.698757,2.0,10.0,1,6,111,70,17,13,0.6428571,25,101,10,0,6.54955,28,1,6,11.66667,0.0,0.75,327.8867,0.1666667,20,0,0.0,62,5,3,0.7302681,0,0.8857143,0.1258586,1.981741,0,0.001728,0,0,0,0,3,1,2,1,0,1,0,0,0,39
,30007,4.548461,2.0,4.0,1,7,123,72,8,25,0.8055556,37,85,35,0,7.9,31,7,7,10.28571,0.5,0.2979592,316.0714,0.1428571,6,0,0.0,67,1,5,1.812748,0,0.9305556,0.06045509,1.433969,0,0.001728,0,1,0,0,1,0,1,1,0,0,0,0,0,53
,30008,4.672892,2.0,12.0,1,6,72,40,6,8,0.875,15,65,4,0,6.202899,28,2,6,6.666667,0.0,0.08333334,344.9074,0.3333333,0,0,0.0,37,0,5,1.821082,0,0.925,0.04703594,1.394519,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,32
,30009,4.823907,2.0,10.0,1,6,109,62,5,15,0.8064516,27,96,9,0,6.457143,33,7,6,10.33333,0.0,0.9,254.4445,0.8333333,6,0,0.0,54,0,3,0.5326492,1,0.8709677,0.07119656,1.25515,0,0.001728,1,1,1,0,1,1,0,0,0,0,0,0,0,43
,30010,4.711663,2.0,12.0,1,5,62,33,3,10,0.9090909,16,47,11,0,7.103448,24,1,5,6.6,0.0,0.4333333,372.8205,0.2,0,0,0.0,29,0,4,0.7435322,0,0.8787879,0.02992889,0.8228033,0,0.001728,0,0,0,0,2,1,0,0,0,0,0,0,0,26
,30011,3.739,2.0,12.0,1,1,19,12,2,1,1.0,5,14,5,0,8.421053,5,1,1,12.0,1.0,0.0,0.0,1.0,0,0,0.0,11,0,1,0.560883,0,0.9166667,0.0,1.224509,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,30012,4.305388,2.0,8.0,1,9,92,56,8,16,0.9107143,24,71,21,0,7.880435,33,0,9,6.222222,0.6,0.1111111,320.7792,0.3333333,0,0,0.0,50,1,7,2.442848,0,0.8928571,0.03067136,1.36892,0,0.001728,0,0,0,0,3,1,2,2,0,0,0,0,0,45
,30013,4.968554,2.0,4.0,1,5,95,50,2,20,0.74,37,75,20,0,8.221052,19,13,5,10.0,0.0,0.25,370.4546,0.2,6,0,0.0,48,0,3,0.7540777,0,0.96,0.05555665,0.9267769,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,35
,30014,4.739502,2.0,7.0,1,8,120,72,6,28,0.8333333,38,104,15,0,7.840336,37,0,8,9.0,0.3333333,0.0,298.4535,0.25,14,0,0.0,66,0,4,0.6601988,0,0.9166667,0.06226819,1.434618,0,0.001728,3,3,3,0,2,1,1,1,0,0,0,0,0,54
,30015,4.88433,2.0,1.0,1,5,119,75,16,15,0.8266667,29,96,22,1,7.184874,29,6,5,15.0,0.0,0.0,251.4881,0.6,0,0,0.0,64,0,2,0.5384327,1,0.8533334,0.04880526,1.88539,0,0.001728,1,1,0,2,2,1,1,0,0,1,0,0,0,54
,30016,3.729,1.0,10.0,1,1,11,6,0,3,1.0,3,8,3,0,7.818182,5,0,1,6.0,1.0,0.0,333.3333,0.0,0,0,0.0,6,0,1,0.560883,1,1.0,0.0,1.661848,0,0.001728,1,1,0,0,0,0,0,0,0,0,0,0,0,6
,30017,3.753382,1.0,8.0,1,5,40,26,2,4,0.7307692,14,37,3,0,6.2,14,0,5,5.2,1.0,0.0,337.963,0.2,0,0,0.0,18,1,5,1.704415,0,0.6923077,0.07708438,1.145964,0,0.001728,0,0,0,0,1,1,0,0,0,0,0,0,0,14
,30018,3.790048,2.0,1.0,1,2,48,29,7,8,0.9310345,10,42,6,0,7.625,13,3,2,14.5,1.0,0.0,375.0,1.0,7,0,0.0,24,0,1,0.560883,0,0.8275862,0.01308826,1.744301,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,30019,3.870653,1.0,8.0,1,10,69,35,1,14,0.9142857,17,60,8,0,6.338235,10,0,10,3.5,1.0,0.08,375.4545,0.0,0,1,0.0,34,0,9,4.38128,0,0.9714286,0.02510165,1.401943,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,31
,30020,4.647097,2.0,10.0,1,3,52,29,3,9,0.9310345,11,42,10,0,7.365385,23,0,3,9.666667,0.0,0.2,219.0477,0.3333333,8,0,0.0,25,0,1,0.560883,0,0.862069,0.02617652,0.9966738,0,0.001728,0,0,0,0,2,2,0,0,0,1,0,0,0,23
,30021,3.801206,1.0,1.0,1,1,43,24,1,5,0.9583333,11,41,2,0,6.046512,11,4,1,24.0,1.0,0.0,0.0,2.0,0,0,0.0,21,0,0,0.0,0,0.875,0.0150515,1.347513,0,0.001728,1,0,0,0,0,0,0,0,0,0,0,0,0,20
,30022,3.697,1.0,8.0,1,1,5,3,0,1,1.0,2,4,1,0,7.2,2,0,1,3.0,1.0,0.0,333.3333,0.0,0,0,0.0,2,0,1,0.560883,0,0.6666667,0.0,0.4771213,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,30023,3.711,1.0,,1,1,9,5,0,1,1.0,3,7,2,0,8.333333,2,1,1,5.0,1.0,0.0,400.0,0.0,0,0,0.0,5,0,1,0.06088305,0,1.0,0.0,0.4771213,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,30024,3.683,1.0,10.0,1,1,7,4,1,0,1.0,1,6,1,0,6.285714,1,1,1,4.0,1.0,0.0,0.0,0.0,0,0,0.0,4,0,1,0.06088305,0,1.0,0.0,1.18251,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,30025,4.601,1.0,10.0,1,2,17,10,2,1,1.0,5,15,2,0,7.294117,5,1,2,5.0,0.0,1.666667,750.0,0.0,0,0,0.0,9,0,2,0.8717661,0,0.9,0.0,1.583907,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,30026,4.699,2.0,10.0,1,3,43,24,1,5,0.9583333,12,35,8,0,7.372093,13,3,3,8.0,0.0,0.1333333,385.7143,0.6666667,0,0,0.0,22,0,2,0.7884327,0,0.9166667,0.0,1.335644,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,22
,30027,4.627663,2.0,2.0,1,2,45,33,8,9,0.8787879,10,37,8,0,6.511111,10,1,2,16.5,0.0,0.0,244.0476,0.5,8,0,0.0,29,0,0,0.0,0,0.8787879,0.02992889,1.996498,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,26
,30028,4.702971,4.0,12.0,1,2,97,51,7,13,0.7647059,20,82,15,0,7.216495,30,5,2,25.5,0.0,0.4,294.1176,0.5,0,0,0.0,47,0,0,0.0,1,0.9215686,0.07460602,1.219753,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,37
,30029,3.753,1.0,12.0,1,1,23,13,2,4,1.0,6,22,1,0,6.130435,10,0,1,13.0,1.0,0.75,307.6923,1.0,8,0,0.0,11,0,0,0.0,1,0.8461539,0.0,1.10431,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,30030,4.766139,2.0,12.0,1,5,97,57,16,17,0.8245614,22,87,10,0,6.927835,38,1,5,11.4,0.0,0.1333333,263.4088,0.4,19,0,0.0,52,3,2,0.6217661,0,0.9122807,0.06274962,1.693026,0,0.001728,1,1,0,0,0,0,0,0,0,0,0,0,0,42
,30031,4.704892,2.0,11.0,1,6,89,48,6,13,0.8541667,16,70,19,0,7.853932,27,7,6,8.0,0.0,0.0,279.8127,0.8333333,15,0,0.0,37,0,5,1.504415,0,0.7708333,0.04703594,1.252162,0,0.001728,0,1,0,0,2,2,0,0,1,0,0,0,0,32
,30032,4.714582,2.0,12.0,1,6,73,40,6,9,0.9,15,63,10,0,6.876712,25,4,6,6.666667,0.0,0.1666667,243.0736,0.6666667,6,0,0.0,35,1,5,1.771082,0,0.875,0.01824424,1.670962,0,0.001728,0,0,0,0,1,1,0,0,0,0,0,0,0,33
,30033,3.725,1.0,10.0,1,1,17,9,2,3,1.0,4,16,1,0,5.529412,6,1,1,9.0,1.0,0.0,222.2222,0.0,0,0,0.0,9,1,1,0.2275497,0,1.0,0.0,1.656505,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,30034,4.618338,2.0,10.0,1,5,104,57,5,18,0.7017544,19,90,14,0,7.576923,34,5,5,11.4,0.0,0.0,364.0056,0.8,13,0,0.0,51,0,2,0.4431946,0,0.8947368,0.1358163,1.270714,0,0.001728,1,1,0,2,1,1,0,0,0,0,0,0,0,34
,30035,4.775649,2.0,12.0,1,5,92,48,10,10,0.75,23,85,7,0,7.456522,27,7,5,9.6,0.0,0.2666667,290.2831,0.6,15,0,0.0,40,2,3,0.9326491,1,0.8333333,0.06585032,1.381937,0,0.001728,1,1,0,1,0,0,0,0,0,0,0,0,0,32
,30036,4.800145,2.0,12.0,1,4,112,65,16,9,0.8307692,22,98,14,0,6.785714,33,4,4,16.25,0.0,0.6666667,323.5931,1.25,14,0,0.0,52,1,0,0.0,1,0.8,0.03926479,1.68229,0,0.001728,1,1,0,1,1,1,0,0,0,0,0,0,0,46
,30037,4.783878,2.0,12.0,1,6,100,51,9,14,0.8627451,21,89,11,0,6.86,24,5,6,8.5,0.0,0.1944445,372.6852,0.6666667,0,0,0.0,42,0,5,2.471082,0,0.8235294,0.02839951,1.27759,0,0.001728,0,0,0,0,1,0,0,0,0,0,0,0,0,38
,30038,4.704157,2.0,12.0,1,5,116,63,8,15,0.7460318,20,108,8,0,7.0,30,10,5,12.6,0.0,0.0,450.7937,1.2,7,0,0.0,52,3,2,1.121766,0,0.8253968,0.08621751,1.407581,0,0.001728,2,1,1,1,3,3,0,0,0,0,0,0,0,39
,30039,4.863161,2.0,12.0,1,6,104,52,4,13,0.8461539,29,97,7,0,6.625,27,8,6,8.666667,0.0,0.1,409.6154,1.0,12,0,0.0,44,1,4,1.043532,0,0.8461539,0.06342503,1.392162,0,0.001728,1,1,0,1,0,0,0,0,0,0,0,0,0,36
,30040,4.880966,2.0,2.0,1,5,108,56,6,11,0.8392857,27,93,13,1,7.35514,27,11,5,11.2,0.0,1.416667,354.7619,0.4,0,0,0.0,49,0,3,0.9826491,0,0.875,0.04422221,1.283563,0,0.001728,2,2,0,2,2,2,0,0,0,0,0,0,0,42
,30041,4.663155,2.0,12.0,1,3,71,35,6,8,0.7714286,17,60,11,0,7.225352,18,6,3,11.66667,0.0,0.0,190.9091,0.3333333,0,0,0.0,29,0,2,0.6217661,0,0.8285714,0.07309745,1.376154,0,0.001728,0,0,0,0,1,1,0,0,0,0,0,0,0,23
,30042,4.765437,2.0,11.0,1,8,116,70,12,14,0.7571428,22,103,13,0,7.112069,39,2,8,8.75,0.0,0.3958333,399.1838,0.25,12,0,0.0,65,2,5,1.337749,1,0.9285714,0.08809643,1.818685,0,0.001728,4,3,1,3,0,0,0,0,0,0,0,0,0,49
,30043,3.753,1.0,1.0,1,2,21,12,1,3,1.0,6,20,1,0,6.809524,5,2,2,6.0,1.0,0.5,222.2222,1.0,0,0,0.0,9,0,1,0.560883,1,0.75,0.0,0.6065146,0,0.001728,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,30044,4.874593,2.0,12.0,1,3,105,57,12,15,0.8245614,27,87,17,0,7.307693,34,4,3,19.0,0.0,0.0,416.6667,0.3333333,6,0,0.0,49,0,1,0.2751688,0,0.8596491,0.03619308,1.663579,0,0.001728,1,1,0,1,0,0,0,0,0,0,0,0,0,43
,30045,4.777448,2.0,2.0,1,6,128,78,11,17,0.8589743,21,109,16,0,6.976,36,7,6,13.0,0.0,0.3246032,276.1893,1.5,30,0,0.0,61,1,1,0.1608831,0,0.7820513,0.03283964,1.490289,0,0.001728,0,0,0,0,2,1,1,1,0,0,0,0,0,55
,30046,4.691634,2.0,12.0,1,5,112,63,6,12,0.7301587,19,96,16,0,7.071429,34,6,5,12.6,0.0,0.4444445,383.9912,0.6,13,0,0.0,56,0,3,1.030268,0,0.8888889,0.08519797,1.460146,0,0.001728,1,1,0,1,0,0,0,0,0,0,0,0,0,43
,30047,4.657865,2.0,12.0,1,3,60,36,10,10,0.8611111,10,47,13,0,8.0,18,3,3,12.0,0.0,0.2888889,306.1869,0.0,6,0,0.0,30,0,2,0.4550993,1,0.8333333,0.02150214,1.687026,0,0.001728,1,1,0,1,1,0,1,1,0,0,0,0,0,28
,30048,4.20845,2.0,1.0,1,6,84,47,8,10,0.8723404,20,71,12,1,7.380952,23,7,6,7.833333,0.6666667,0.08333334,311.9709,0.1666667,0,0,0.0,42,2,3,1.289792,1,0.893617,0.03168737,1.531735,0,0.001728,1,1,0,1,0,0,0,0,0,0,0,0,0,38
,30049,3.738048,1.0,1.0,1,4,42,28,9,9,0.9285714,5,37,5,0,7.071429,14,0,4,7.0,1.0,0.0,242.6282,0.0,7,0,0.0,24,0,3,0.9326491,0,0.8571429,0.01308826,1.742655,0,0.001728,1,1,1,0,2,2,0,0,0,0,0,0,0,23
,30050,3.739,2.0,1.0,1,1,24,14,2,4,1.0,5,21,3,0,7.333333,8,1,1,14.0,1.0,0.25,285.7143,0.0,6,0,0.0,12,0,0,0.0,0,0.8571429,0.0,1.214237,0,0.001728,0,0,0,0,1,1,0,0,0,0,0,0,0,12
