Path,File_Name,CRIE Readability 1.0,SVM readability prediction 1.0,SVM readability prediction 2.0,Paragraphs,Average paragraph length,Characters,Words,Adverbs,Verbs,Type-token ratio,Difficult words,Low-stroke characters,Intermediate-stroke characters,High-stroke characters,Average strokes,Two-character words,Three-character words,Sentences,Average sentence length,Simple sentence ratio,modifiers per NP,Np ratio,Average propositional phrase,Sentences with complex structure,Parallelism,Average number of idioms each sentence,Content words,Negatives,Sentences with complex semantic categories,Number of complex semantic categories,Intentional words,Noun word density,Content word frequency in logarithmic,Average frequency of content word in domain in Logarithmic,Number of Idioms,Standard Deviation of number of idioms,Pronouns,Personal pronouns,First personal pronouns,Third personal pronouns,conjunctions,positive conjunctions,negative conjunctions,adversative conjunctions,causal conjunctions,hypothesis conjunction,condition conjunction,purpose conjunctions,figure of speech (simile),Content word category
,85001,3.739,1.0,8.0,1,1,20,11,0,5,1.0,5,17,3,0,7.4,9,0,1,11.0,1.0,1.333333,272.7273,0.0,0,0,0.0,10,0,1,0.360883,0,0.9090909,0.0,0.6098436,0,0.001992,0,0,0,0,1,1,0,0,0,0,0,0,0,10
,85002,3.712514,1.0,1.0,1,1,40,25,9,3,0.8,7,35,5,0,7.15,13,1,1,25.0,1.0,0.0,0.0,1.0,0,0,0.0,18,0,0,0.0,0,0.72,0.03762875,1.146012,0,0.001992,0,0,0,0,1,1,0,0,0,0,0,0,0,16
,85003,4.56747,1.0,1.0,1,2,29,20,6,6,0.85,5,25,4,0,6.827586,9,0,2,10.0,0.0,0.5,273.8095,0.5,6,0,0.0,14,0,1,0.06088305,0,0.7,0.02315615,1.875028,0,0.001992,0,0,0,0,1,0,1,1,0,0,0,0,0,13
,85004,4.226757,2.0,1.0,1,3,35,21,4,5,0.952381,11,28,7,0,8.142858,10,2,3,7.0,0.5,0.1666667,407.4074,0.3333333,0,0,0.0,17,0,3,0.9493157,0,0.8095238,0.01881438,1.421238,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,85005,4.496078,1.0,1.0,1,3,30,22,8,7,0.8636364,3,25,5,0,7.0,8,0,3,7.333333,0.0,0.0,140.2116,0.0,6,0,0.0,20,1,2,0.2217661,0,0.9090909,0.05312294,2.444899,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,85006,4.746531,2.0,8.0,1,6,82,44,6,10,0.7727273,20,76,5,0,6.901235,29,0,6,7.333333,0.0,0.7916667,322.7754,0.0,18,0,0.0,37,0,5,1.661558,0,0.8409091,0.04452295,1.095364,0,0.001992,0,0,0,0,2,2,1,0,1,1,0,0,0,31
,85007,3.711,1.0,8.0,1,1,9,6,1,2,1.0,3,8,1,0,7.0,3,0,1,6.0,1.0,0.0,166.6667,0.0,0,0,0.0,5,0,1,0.06088305,0,0.8333333,0.0,1.638392,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,85008,4.482121,2.0,8.0,1,2,32,16,2,4,0.75,5,25,7,0,8.5,13,0,2,8.0,0.0,0.3333333,436.5079,0.0,0,0,0.0,14,0,1,0.310883,0,0.875,0.08209909,0.7848558,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,85009,4.57594,2.0,8.0,1,3,41,21,3,5,0.7619048,8,36,5,0,7.829268,17,0,3,7.0,0.0,0.9166667,356.4815,0.0,6,0,0.0,15,0,1,0.1608831,0,0.7142857,0.04631231,0.9818228,0,0.001992,0,0,0,0,3,3,2,0,1,2,0,0,0,13
,85010,4.682881,2.0,8.0,1,2,38,24,3,5,0.7916667,15,28,10,0,8.394737,14,0,2,12.0,0.0,0.5833334,321.6783,0.0,7,0,0.0,17,0,0,0.0,0,0.7083333,0.04013734,1.071243,0,0.001992,0,0,0,0,2,2,0,0,0,0,0,0,0,15
,85011,4.709865,2.0,8.0,1,3,54,33,6,8,0.9393939,15,43,9,0,8.442307,17,2,3,11.0,0.0,0.0,274.2813,0.6666667,13,0,0.0,30,0,3,0.5993158,1,0.9090909,0.02150214,1.775746,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,85012,3.711,1.0,1.0,1,1,12,9,0,2,1.0,3,9,3,0,7.75,3,0,1,9.0,1.0,0.0,222.2222,0.0,0,0,0.0,8,0,1,0.2275497,0,0.8888889,0.0,1.581043,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,85013,3.781,2.0,8.0,1,1,32,20,5,8,1.0,8,22,10,0,8.5625,7,1,1,20.0,1.0,0.0,0.0,1.0,0,0,1.0,17,0,0,0.0,1,0.85,0.0,0.6862082,1,0.018008,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,85014,4.78197,2.0,8.0,1,4,77,41,7,12,0.8536586,19,59,18,0,7.857143,28,1,4,10.25,0.0,0.3125,268.1624,0.25,15,0,0.0,30,0,3,0.5993158,0,0.7317073,0.01038035,0.9563555,0,0.001992,0,0,0,0,3,3,0,0,0,1,0,0,0,29
,85015,3.823,2.0,8.0,1,1,41,22,1,7,1.0,11,37,4,0,7.560976,15,2,1,22.0,1.0,0.0,0.0,0.0,0,0,0.0,20,0,0,0.0,0,0.9090909,0.0,1.219759,0,0.001992,1,0,0,0,1,1,0,0,0,0,0,0,0,20
,85016,3.739,1.0,8.0,1,1,12,8,0,4,1.0,5,8,4,0,7.833333,4,0,1,8.0,1.0,0.0,250.0,0.0,0,0,0.0,8,0,0,0.0,1,1.0,0.0,1.465562,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,85017,4.230778,2.0,2.0,1,10,115,75,11,20,0.48,18,89,26,0,8.043478,38,1,10,7.5,0.3333333,0.9666667,259.4517,0.3,6,2,0.0,61,0,2,0.7884327,0,0.8133333,0.1953654,1.333674,0,0.001992,1,1,0,1,1,0,0,0,0,0,0,0,0,33
,85018,3.711,1.0,,1,1,4,3,0,1,1.0,3,3,1,0,9.25,1,0,1,3.0,1.0,0.0,333.3333,0.0,0,0,0.0,3,0,1,0.560883,0,1.0,0.0,1.380211,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,85019,3.725,1.0,8.0,1,2,16,13,2,2,1.0,4,13,3,0,8.125,3,0,2,6.5,1.0,0.0,181.8182,1.0,7,0,0.0,9,0,1,0.560883,0,0.6923077,0.0,1.167921,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,85020,4.445072,2.0,1.0,1,8,126,80,12,29,0.8,35,107,19,0,7.436508,42,2,8,10.0,0.6,0.03125,263.6357,0.25,25,0,0.0,69,2,4,1.243532,0,0.8625,0.06541987,2.085163,0,0.001992,2,2,0,0,3,2,1,1,0,0,0,0,0,56
,85021,4.45413,1.0,1.0,1,3,47,26,4,5,0.6538461,9,39,8,0,7.12766,13,4,3,8.666667,0.0,0.0,350.0,0.6666667,6,1,0.0,18,0,3,0.9493159,0,0.6923077,0.1401034,2.584923,0,0.001992,0,0,0,0,3,1,2,1,0,0,0,0,0,12
,85022,4.159237,2.0,8.0,1,5,116,64,8,14,0.796875,19,100,16,0,6.87931,34,9,5,12.8,0.6666667,0.0,444.4444,0.8,0,0,0.0,51,4,3,1.182649,0,0.796875,0.05600558,1.823904,0,0.001992,1,1,0,1,4,2,2,0,1,0,1,0,0,43
,85023,4.847235,2.0,8.0,1,6,113,66,11,12,0.8333333,23,98,15,0,6.982301,26,9,6,11.0,0.0,0.5694445,365.2777,0.6666667,23,0,0.0,52,1,1,0.560883,0,0.7878788,0.04127406,1.75442,0,0.001992,3,3,2,0,2,1,1,0,0,0,0,0,0,45
,85024,4.274176,1.0,1.0,1,2,33,20,3,4,0.55,3,32,1,0,6.090909,11,1,2,10.0,0.0,0.5416666,354.1667,0.0,8,0,0.0,16,0,1,0.1608831,0,0.8,0.2063703,1.751214,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,85025,4.725097,2.0,8.0,1,4,41,29,3,9,0.8965517,14,36,5,0,7.365854,12,0,4,7.25,0.0,0.3333333,441.6667,0.5,14,0,0.0,25,0,1,0.06088305,0,0.862069,0.02617652,1.6217,0,0.001992,2,2,1,0,0,0,0,0,0,0,0,0,0,23
,85026,3.725,,,1,1,15,8,1,3,1.0,4,13,2,0,6.333333,2,1,1,8.0,1.0,0.0,125.0,0.0,0,0,0.0,8,0,1,0.560883,0,1.0,0.0,,0,0.001992,0,0,0,0,0,0,0,0,0,0,0,0,0,8
